"lang"
{
        "Language"              "English"
                "item_shatered_hero_great_sword_desc"                                                                                "This is the remains of a hero Great Sword, His power is nothing near his original form"

                "item_sixth_guardian"                                                                             "Sixth Guardian ?"
                "item_sixth_guardian_desc"                                                                                "This is a copy of one of great sword from the 6 War Guardian who are know as one of the best warrior in this world"

                "item_silver_ruler"                                                                             "Silver Ruler"
                "item_silver_ruler_desc"                                                                                "The great sword of an old and merely know lord, But it have vary good stats so I'm sure you're gonna use it"

                "item_mechanical_sword"                                                                             "Mechanical sword"
                "item_mechanical_sword_desc"                                                                                "Here is the result of years of research from one of the greatest scientist !\nYou fell vibration throught the handle"

                "item_mechanoid_sword"                                                                             "Mechanoid sword"
                "item_mechanoid_sword_desc"                                                                                "No one know who made it ... It may come from the future"


                "item_lone_warrior_armor"                                                                             "Lone-Warrior's Armor"
                "item_lone_warrior_armor_desc"                                                                                "This armor seam to give you impressive sword skill !"

                "item_frost_legion_armor"                                                                             "Armor of the Frost Legion"
                "item_frost_legion_armor_desc"                                                                                "Give 20% chance to apply 300% critical hit with frost legion weapons"

                "item_frost_general_armor"                                                                             "Armor of the Frost General"
                "item_frost_general_armor_desc"                                                                                "Give 20% chance to apply 400% critical hit with frost legion weapons"

                "item_frost_general_helmet"                                                                             "Helmet of the Frost General"
                "item_frost_general_helmet_desc"                                                                                "Give 30% chance to apply 300% critical hit with frost General weapons"

                "item_frost_lord_helmet"                                                                             "Crown of the Frost Lord"
                "item_frost_lord_helmet_desc"                                                                                "Give 30% chance to apply 400% critical hit with frost Lord weapons"

                "item_frost_lord_gloves"                                                                             "Gauntlet of the Frost Lord"
                "item_frost_lord_gloves_desc"                                                                                "Gauntlet used by the lord of Frost Legion, an important sign of power for them"


                "item_ice_great_sword"                                                                             "Ice Great Sword"
                "item_ice_great_sword_desc"                                                                                "A very cold and strong great sword"


                "item_frost_legion_gs"                                                                             "Great Sword of the frost Legion"
                "item_frost_legion_gs_desc"                                                                                "Great Sword used by the frost legion, It seam to be more efficiency when wearing their armor"

                "item_frost_legion_sword"                                                                             "Sword of the frost Legion"
                "item_frost_legion_sword_desc"                                                                                "Sword used by the frost legion, It seam to be more efficiency when wearing their armor"


                "item_frost_general_spear"                                                                             "Spear of the frost General"
                "item_frost_general_spear_desc"                                                                                "Spear used by the general of frost legion, you better wear their helmet"

                "item_frost_general_gs"                                                                             "Great Sword of the frost General"
                "item_frost_general_gs_desc"                                                                                "Great Sword used by the general of frost legion, you better wear their helmet"


                "item_frost_lord_gs"                                                                             "Great Sword of the frost Lord"
                "item_frost_lord_gs_desc"                                                                                "Great Sword used by the lord of frost legion, you better wear his Crown"

                "item_frost_lord_sword"                                                                             "Sword of the frost Lord"
                "item_frost_lord_sword_desc"                                                                                "Sword used by the lord of frost legion, you better wear his Crown"






                "item_mechanical_vest_I"                                                                             "Mech Vest MK.I"
                "item_mechanical_vest_I_desc"                                                                                "Mechanised Tactical Vest, Protect the wearer from basic danger \nAlso Equiped with a auto-Canon which will fire automaticaly at ennemy"
                "item_mechanical_vest_II"                                                                             "Mech Vest MK.II"
                "item_mechanical_vest_II_desc"                                                                                "Some Improvisation to his autocanon , better material and a bit lighter"
                "item_mechanical_vest_III"                                                                             "Mech Vest MK.III"
                "item_mechanical_vest_III_desc"                                                                                "'They never stop the progress !'"
                "item_mechanical_vest_IV"                                                                             "Mech Vest MK.IV"
                "item_mechanical_vest_IV_desc"                                                                                "huee... another? Is the author as original than Apple ?"

                "item_cursed_necklace"                                                                             "Cursed NeckLace"
                "item_cursed_necklace_desc"                                                                                "Give lots of power to his owned, but also make him more likely to be victim of thief/agression/murder"

                //----------------------------- PASSIVES NAME AND DESCRIPTION

                "Effect"										"Passives"

                "poison_1"										"Toxine"
                "poison_1_desc"										"Chance : 15% \nDeal 100% of the damage over 3 seconds (magical)"

                "fire_1"                                                                              "Fire"
                "fire_1_desc"                                                                         "Chance : 25% \nBurn the ennemy , which Deal 200% of the damage over 5 seconds (physical)\nFire can't stack with himself"

                "fire_2"                                                                              "Frozen Flame"
                "fire_2_desc"                                                                         "Chance : 25% \nBurn the ennemy with cold fire , which Deal 400% of the damage over 5 seconds (physical)\nFire can't stack with himself"

                "fire_3"                                                                              "Dragon Flame"
                "fire_3_desc"                                                                         "Chance : 50% \nBurn the ennemy with dragon flame, which Deal 600% of the damage over 5 seconds (physical)\nFire can't stack with himself"

                "critical_I"                                                                           "Critical Hit"
                "critical_I_desc"                                                                         "Chance : 20% \nHit the ennemy with a critical hit dealing 200% of damage" // + 20% dps
                "critical_II"                                                                           "Critical Hit"
                "critical_II_desc"                                                                         "Chance : 25% \nHit the ennemy with a critical hit dealing 250% of damage" // + 37.5% dps
                "critical_III"                                                                           "Critical Hit"
                "critical_III_desc"                                                                         "Chance : 30% \nHit the ennemy with a critical hit dealing 300% of damage" // + 60% dps

                "sword_mastery_I"                                                                           "Sword Mastery"
                "sword_mastery_I_desc"                                                                         "Give you 20% Dodge-rate \nIf you have a melee weapon equiped you'll gain 50 attack-speed and 10% damage"

                "Ice_I"                                                                           "Cold Touch"
                "Ice_I_desc"                                                                         "Chance : 20% \nSlow the ennemy by 20% of his movement speed for 2 seconds"

                "Ice_II"                                                                           "Frost Legion Benediction"
                "Ice_II_desc"                                                                         "Chance : 20% \nSlow the ennemy by 25% of his movement speed for 3 seconds\nIf you have the Frost Legion or Frost General Armor equiped you'll have 20% to apply a 300% or 400% critical hit "

                "Ice_III"                                                                           "Frost General Benediction"
                "Ice_III_desc"                                                                         "Chance : 30% \nSlow the ennemy by 30% of his movement speed for 4 seconds\nIf you have the Frost General or Frost Lord Helmet equiped you'll have 30% to apply a 300% or 400% critical hit "

                "Ice_IV"                                                                           "Frost Lord Curse"
                "Ice_IV_desc"                                                                         "Chance : 30% \nSlow the ennemy by 35% of his movement speed for 5 seconds\nIf you have the Frost Lord Helmet equiped you'll have 30% to apply a 500% critical hit "


                "hidden_power"                                                                           "Hidden Power"
                "hidden_power_desc"                                                                         "Chance : 11% \nThe Sword will unleach some of his inner power dealing 1000% of damage in one hit" // + 100% dps


                "poison_2"										"Poison"
                "poison_2_desc"										"Chance : 40% \nDeal 150% of the damage over 3 seconds (magical)"

                "poison_3"										"Extreme Posion"
                "poison_3_desc"										"Chance : 80% \nDeal 200% of the damage over 4 seconds (magical)"

                "tarask_blood"                                                                              "Blood Of Tarask"
                "tarask_blood_desc"                                                                         "Regen the wearer for 3.5% of his Health per seconds"

                "str_1"                                                 "Superior Strength"

                "hp_1"                                                 "Excelent Vitality"
                "hp_2"                                                 "Boiling Blood"

                "attack_speed_1"                                                 "Battle Frenzy"

                "armor_1"                                                 "Armored Skin"

                "active_1"												"Test Skill"

                "damage_1"                                                 "Damage Increase"

                "agi_1"                                                 "Wind Benediction"

                "int_1"                                                 "Improved Magical Power"

                "hp_regen_1"                                                 "Increased Regeneration"
                "hp_regen_2"                                                 "Second Heart"

                "Bonus_Health"												"Bonus Health"
                "Health_Regen"												"Health Regen"
                "Bonus_Mana"												"Bonus Mana"
                "Mana_Regen"												"Mana Regen"

                "Bonus_Strength"												"Bonus Strength"
                "Bonus_Agility"												"Bonus Agility"
                "Bonus_Inteligence"												"Bonus Inteligence"

                "Bonus_Damage"												"Bonus Physical Damage for weapon"
                "Bonus_Armor"												"Bonus Armor"

                "Bonus_Attack_Speed"										"Bonus Attack Speed"
				"Bonus_Range"												"Bonus Attack Range"
				"Bonus_Move_Speed"											"Bonus Move Speed"




                "Required_level"											"Required Level"

                "Required_Ability"											"Required Ability"

                "Power_Points"												"Power Points"

                "Skill_Tree"												"Skill Tree"

                "Strength"														"Stength"
                "Agility"														"Agility"
                "Inteligence"													"Inteligence"

                "Health"													"Health"
                "Hp_per_sec"												"HP/Sec"
                "Mana"														"Mana"
                "Mp_per_sec"												"MP/Sec"

                "Life_Steal"												"Life Steal"
                "Life_on_Hit"												"Life On Hit"

                "Damage"													"Physical Damage"
                "M_Damage"													"Magical Damage"
                "Attack_Speed"												"Attack Speed"
                "Attack_Per_Second"												"Attacks Per Second"

                "Armor"														"Armor"
                "Physical_Ress"												"Physical Ressistance"
                "Magic_Ress"												"Magical Ressistance"

                "Range"														"Range"
                "Move_Speed"												"Move Speed"

                "Dodge"														"Dodge rate"

                "Upgrade_slot"												"Infusion capacity"
                "Available"													"available"

                // BOSS NAME GOES HERE -------------------


                "boss_1"                                                                                                 "Lunaris. The beast guardian of moon"
                "boss_2"                                                                                                 "Aengus. Celtic protector"





                // HERE GOES SOME OTHER STUFF

                "DOTA_Tooltip_ability_shield_faith"                        "Shield Of Faith"
                "DOTA_Tooltip_ability_shield_faith_Description"            "Protect his caster from damage"
                "DOTA_Tooltip_ability_shield_faith_damage_reduction"          "%DAMAGE ABSORB:
                "DOTA_Tooltip_ability_shield_faith_duration"               "DURATION:"


        }
}
